Rank,Name,Year of Birth,Year of Death,Description
1,Marilyn Monroe,1926,1962," American actress, singer, model"
2,Abraham Lincoln,1809,1865, US President during American civil war
3,Mother Teresa,1910,1997, Macedonian Catholic missionary nun
4,John F. Kennedy,1917,1963, US President 1961 - 1963
5,Martin Luther King,1929,1968, American civil rights campaigner
6,Nelson Mandela,1918,2013, South African President anti-apartheid campaigner
7,Winston Churchill,1874,1965, British Prime Minister during WWII
8,Bill Gates,1955,," American businessman, founder of Microsoft"
9,Muhammad Ali,1942,2016, American Boxer and civil rights campaigner
10,Mahatma Gandhi,1869,1948, Leader of Indian independence movement
11,Margaret Thatcher,1925,2013, British Prime Minister 1979 - 1990
12,Charles de Gaulle,1890,1970, French resistance leader and President 1959 - 1969
13,Christopher Columbus,1451,1506, Italian explorer
14,George Orwell,1903,1950, British author
15,Charles Darwin,1809,1882," British scientist, theory of evolution"
16,Elvis Presley,1935,1977, American Musician
17,Albert Einstein,1879,1955," German scientist, theory of relativity"
18,Paul McCartney,1942,," British musician, member of Beatles"
20,Queen Elizabeth II,1926,, British monarch since 1954
21,Queen Victoria ,1819,1901, British monarch 1837 - 1901
22,John M Keynes,1883,1946, British economist
23,Mikhail Gorbachev,1931,,Leader of Soviet Union 1985 - 1991
24,Jawaharlal Nehru,1889,1964, Indian Prime Minister 1947 - 1964
25,Leonardo da Vinci ,1452,1519," Italian, painter, scientist, polymath"
26,Louis Pasteur,1822,1895, French chemist and microbiologist
27,Leo Tolstoy,1828,1910, Russian author and philosopher
28,Pablo Picasso,1881,1973, Spanish modern artist
29,Vincent Van Gogh,1853,1890, Dutch artist
30,Franklin D. Roosevelt,1882,1945, US President 1932 - 1945
31,Pope John Paul II,1920,2005, Polish Pope
32,Thomas Edison ,1847,1931, American inventor
33,Rosa Parks,1913,2005, American civil rights activist
34,Aung San Suu Kyi,1945,, Burmese opposition leader
35,Lyndon Johnson,1908,1973, US President 1963 - 1969
36,Ludwig Beethoven,1770,1827, German composer
37,Oprah Winfrey,1954,,"American TV presenter, actress, entrepreneur"
38,Indira Gandhi,1917,1984, Prime Minister of India 1966 - 1977
39,Eva Peron,1919,1952, First Lady of Argentina 1946 - 1952
40,Benazir Bhutto,1953,2007, Prime Minister of Pakistan 1993 - 1996
41,Desmond Tutu,1931,, South African Bishop and opponent of apartheid
