celebrity,number_of_marriages,number_of_divorces,Spouse1,Spouse2,Spouse3,Spouse4,Description,Famous for,Forbes Top 100,Earnings
A.J. Green,0,0,,,,,,sports,1,$33.50 
Abraham Lincoln,1,0,Mary Todd Lincoln,,,, US President during American civil war,politics,0,
Adele,0,0,,,,,,entertainment,1,$80.50 
Adolf Hitler,1,0,Eva Braun,,,, leader of Nazi Germany 1933 - 1945,politics,0,
Akshay Kumar,1,0,Twinkle Khanna,,,,,entertainment,1,$31.50 
Al Gore,1,0,Tipper Gore,,,,US presidential candidate and environmental campaigner,politics,0,
Albert Einstein,1,0,Mileva Mari,,,," German scientist, theory of relativity",science,0,
Alfred Hitchcock,1,0,Alma Reville,,,," English / American film producer, director",entertainment,0,
Amelia Earhart,1,0,George P,,,, Aviator,science,0,
Angelina Jolie,3,0,Jonny Lee Miller, Billy Bob Thornton, Brad Pitt,," Actress, director, humanitarian",entertainment,0,
Anne Frank,0,0,,,,, Dutch Jewish author who died in Holocaust,religion & humanities,0,
Audrey Hepburn,2,2,Mel Ferrer, Andrea Dotti ,,, British actress and humanitarian,entertainment,0,
Aung San Suu Kyi,1,0,Michael Aris,,,, Burmese opposition leader,politics,0,
Babe Ruth,2,1,Helen Woodford,Claire Merritt Hodgson,,, American baseball player,sports,0,
Barack Obama,1,0,Michelle Obama,,,, US President 2008 - 2016,politics,0,
Ben Affleck,1,1,Jennifer Garner,,,,,entertainment,1,$43 
Benazir Bhutto,1,0,Asif Ali Zardari,,,, Prime Minister of Pakistan 1993 - 1996,politics,0,
Beyoncé Knowles,0,0,,,,,,entertainment,1,$54 
Bill Gates,1,0,Melinda Gates,,,," American businessman, founder of Microsoft",business,0,
Billie Holiday,0,0,,,,, American jazz singer,entertainment,0,
Billie Jean King,0,0,,,,, American tennis player and human rights activist,sports,0,
Bob Geldof,2,1,Paula Yates,Jeanne Marine,,," Irish musician, charity worker",religion & humanities,0,
Brad Pitt,2,1,Jennifer Aniston, Angelina Jolie,,,,entertainment,1,$31.50 
Britney Spears,2,1,Jason Allen Alexander, Kevin Federline,,,,entertainment,1,$30.50 
Bruce Springsteen,1,1,Julianne Phillips,,,,,entertainment,1,$60.50 
C.S. Lewis,1,0,Joy Davidman,,,, British author,entertainment,0,
Calvin Harris,0,0,,,,,,entertainment,1,$63 
Cam Newton,0,0,,,,,,sports,1,$53 
Carl Lewis,0,0,,,,, US athlete and Olympian,sports,0,
Carmelo Anthony,0,0,,,,,,sports,1,$31 
Charles Darwin,1,0,Emma Darwin,,,," British scientist, theory of evolution",science,0,
Charles de Gaulle,1,0,Yvonne de Gaulle,,,, French resistance leader and President 1959 - 1969,politics,0,
Christopher Columbus,1,0,Filipa Moniz Perestrelo,,,, Italian explorer,science,0,
Clayton Kershaw,0,0,,,,,,sports,1,$32 
Coco Chanel,0,0,,,,, French fashion designer,arts,0,
Cristiano Ronaldo,0,0,,,,,Portuguese footballer,sports,1,$88 
Dalai Lama,1,0,Dalai Lama,,,, Spiritual and political leader of Tibetans,religion & humanities,0,
Dave Matthews Band,0,0,,,,,,entertainment,1,$33 
David Beckham,1,0,Victoria Beckham,,,,English footballer,sports,0,
David Copperfield,0,0,,,,,,entertainment,1,$64 
Derrick Rose,0,0,,,,,,sports,1,$34 
Desmond Tutu,0,0,,,,, South African Bishop and opponent of apartheid,religion & humanities,0,
Donald Trump,3,2,Ivana Zeln, Marla Maples, Melania Knauss,," Businessman, politician",business,0,
Dr. Dre,1,0,Nicole Young,,,,,entertainment,1,$41 
Dr. Phil McGraw,2,0,Debbie Higgins, Robin Jameson,,,,entertainment,1,$88 
Drake,0,0,,,,,,entertainment,1,$38.50 
Drew Brees,0,0,,,,,,sports,1,$31 
Dwayne Johnson,1,1,Dany Garcia,,,,,entertainment,1,$64.50 
Dwyane Wade,0,0,,,,,,sports,1,$32 
Ed Sheeran,0,0,,,,,,entertainment,1,$33.50 
Eli Manning,0,0,,,,,,sports,1,$45 
Ellen DeGeneres,1,0,Portia de Rossi ,,,,,entertainment,1,$75 
Elton John,2,1,Renate Blauel, David Furnish,,,,entertainment,1,$42 
Elvis Presley,1,1,Priscilla Presley,,,, American Musician,entertainment,0,
Emile Zatopek,0,0,,,,, Czech athlete,sports,0,
Emmeline Pankhurst,1,0,Richard Pankhurst,,,,English suffragette,religion & humanities,0,
Ernest Hemingway,4,3,Elizabeth Hadley Richardson, Pauline Pfeiffer, Martha Gellhorn, Mary Welsh Hemingway, American author,entertainment,0,
Eva Peron,1,0,,,,, First Lady of Argentina 1946 - 1952,politics,0,
Fernando Alonso,0,0,,,,,,sports,1,$36.50 
Fidel Castro,1,0,Mirta Diaz,,,,President of Cuba 1976 - 2008,politics,0,
Florence Nightingale,0,0,,,,,British nurse,religion & humanities,0,
Floyd Mayweather,0,0,,,,,,sports,1,$44 
Franklin D. Roosevelt,1,0,Eleanor Roosevelt,,,, US President 1932 - 1945,politics,0,
Gareth Bale,0,0,,,,,,sports,1,$36 
Garth Brooks,2,1,Sandy Mahl, Trisha Yearwood,,,,entertainment,1,$70 
George Bush Jnr,1,0,Laura Welch,,,, US President 2000-2008,politics,0,
George Clooney,2,1,Talia Balsam, Amal Clooney,,,American actor and political activist,entertainment,0,
George Orwell,1,0,Eileen O,,,, British author,entertainment,0,
Gisele Bündchen,0,0,,,,,,entertainment,1,$30.50 
Gordon Ramsay,1,0,Tana Ramsay,,,,,entertainment,1,$54 
Grace Kelly,1,0,Rainier III,,,," American actress, Princess of Monaco",entertainment,0,
Haile Selassie,1,0,Menen Asfaw,,,, Emperor of Ethiopia 1930 - 1974,politics,0,
Henry Ford,1,0,Clara Jane Bryant,,,, US Industrialist,business,0,
Howard Stern,2,1,Alison Berns, Beth Ostrosky Stern,,,,entertainment,1,$85 
Indira Gandhi,1,0,Feroze Gandhi,,,, Prime Minister of India 1966 - 1977,politics,0,
Ingrid Bergman,3,3,Petter Lindstr, Roberto Rossellini, Lars Schmidt,, Swedish actress,entertainment,0,
J.K.Rowling,2,1,Jorge Arantes, Neil Murray,,, British author,entertainment,0,
J.R.R. Tolkien,1,0,Edith Tolkien,,,, British author,entertainment,0,
Jackie Chan,1,0,Joan Lin,,,,,entertainment,1,$61 
Jacqueline Kennedy Onassis,2,0,John F, Aristotle Onassis,,, American wife of JF Kennedy,politics,0,
James Harden,0,0,,,,,,sports,1,$33 
James Patterson,1,0,Susan Patterson,,,,,entertainment,1,$95 
Jason Aldean,0,0,,,,,,entertainment,1,$36.50 
Jawaharlal Nehru,1,0,Kamla Nehru,,,, Indian Prime Minister 1947 - 1964,politics,0,
Jay Z,1,0,Beyonc,,,,,entertainment,1,$53.50 
Jennifer Lawrence,0,0,,,,,,entertainment,1,$46 
Jennifer Lopez,3,3,Ojani Noa, Cris Judd, Marc Anthony,,,entertainment,1,$39.50 
Jerry Seinfeld,1,0,Jessica Seinfeld,,,,,entertainment,1,$43.50 
Jesse Owens,1,0,Minnie Ruth Solomon,,,," US track athlete, 1936 Olympics",sports,0,
Jimmy Buffett,0,0,,,,,,entertainment,1,$40.50 
